Y,M,D,H,GG,GD
2003,1,11,6,0,0
2003,1,11,7,0,0
2003,1,11,8,0,0
2003,1,11,9,0,0
2003,1,11,10,38,35
2003,1,11,11,140,74
2003,1,11,12,227,78
2003,1,11,13,274,70
2003,1,11,14,268,65
2003,1,11,15,213,61
2003,1,11,16,118,51
2003,1,11,17,26,14
2003,1,11,18,0,0
2003,1,11,19,0,0
2003,1,11,20,0,0
2003,1,11,21,0,0
2003,1,11,22,0,0
2003,1,11,23,0,0
2003,1,11,24,0,0
2003,1,12,1,0,0
2003,1,12,2,0,0
2003,1,12,3,0,0
2003,1,12,4,0,0
2003,1,12,5,0,0
2003,1,12,6,0,0
2003,1,12,7,0,0
2003,1,12,8,0,0
2003,1,12,9,0,0
2003,1,12,10,72,27
2003,1,12,11,169,55
2003,1,12,12,232,76
2003,1,12,13,279,68
2003,1,12,14,274,62
2003,1,12,15,190,84
2003,1,12,16,107,60
2003,1,12,17,24,11
2003,1,12,18,0,0
2003,1,12,19,0,0
2003,1,12,20,0,0
2003,1,12,21,0,0
2003,1,12,22,0,0
2003,1,12,23,0,0
2003,1,12,24,0,0
2003,1,13,1,0,0
2003,1,13,2,0,0
2003,1,13,3,0,0
2003,1,13,4,0,0
2003,1,13,5,0,0
2003,1,13,6,0,0
2003,1,13,7,0,0
2003,1,13,8,0,0
2003,1,13,9,0,0
2003,1,13,10,44,37
2003,1,13,11,113,84
2003,1,13,12,160,115
2003,1,13,13,213,120
2003,1,13,14,166,126
2003,1,13,15,169,98
2003,1,13,16,93,66
2003,1,13,17,16,15
2003,1,13,18,0,0
2003,1,13,19,0,0
2003,1,13,20,0,0
2003,1,13,21,0,0
2003,1,13,22,0,0
2003,1,13,23,0,0
2003,1,13,24,0,0
2003,1,14,1,0,0
2003,1,14,2,0,0
2003,1,14,3,0,0
2003,1,14,4,0,0
2003,1,14,5,0,0
2003,1,14,6,0,0
2003,1,14,7,0,0
2003,1,14,8,0,0
2003,1,14,9,0,0
2003,1,14,10,30,28
2003,1,14,11,110,85
2003,1,14,12,171,114
2003,1,14,13,251,100
2003,1,14,14,224,110
2003,1,14,15,186,92
2003,1,14,16,99,67
2003,1,14,17,19,16
2003,1,14,18,0,0
2003,1,14,19,0,0
2003,1,14,20,0,0
2003,1,14,21,0,0
2003,1,14,22,0,0
2003,1,14,23,0,0
2003,1,14,24,0,0
2003,1,15,1,0,0
2003,1,15,2,0,0
2003,1,15,3,0,0
2003,1,15,4,0,0
2003,1,15,5,0,0
2003,1,15,6,0,0
2003,1,15,7,0,0
2003,1,15,8,0,0
2003,1,15,9,0,0
2003,1,15,10,36,33
2003,1,15,11,124,85
2003,1,15,12,199,106
2003,1,15,13,235,113
2003,1,15,14,182,128
2003,1,15,15,80,75
2003,1,15,16,47,44
2003,1,15,17,19,17
2003,1,15,18,0,0
2003,1,15,19,0,0
2003,1,15,20,0,0
2003,1,15,21,0,0
2003,1,15,22,0,0
2003,1,15,23,0,0
2003,1,15,24,0,0
2003,1,16,1,0,0
2003,1,16,2,0,0
2003,1,16,3,0,0
2003,1,16,4,0,0
2003,1,16,5,0,0
2003,1,16,6,0,0
2003,1,16,7,0,0
2003,1,16,8,0,0
2003,1,16,9,0,0
2003,1,16,10,5,5
2003,1,16,11,33,32
2003,1,16,12,80,76
2003,1,16,13,61,59
2003,1,16,14,61,59
2003,1,16,15,47,45
2003,1,16,16,36,35
2003,1,16,17,11,11
2003,1,16,18,0,0
2003,1,16,19,0,0
2003,1,16,20,0,0
2003,1,16,21,0,0
2003,1,16,22,0,0
2003,1,16,23,0,0
2003,1,16,24,0,0
2003,1,17,1,0,0
2003,1,17,2,0,0
2003,1,17,3,0,0
2003,1,17,4,0,0
2003,1,17,5,0,0
2003,1,17,6,0,0
2003,1,17,7,0,0
2003,1,17,8,0,0
2003,1,17,9,0,0
2003,1,17,10,19,18
2003,1,17,11,44,42
2003,1,17,12,72,68
2003,1,17,13,105,98
2003,1,17,14,94,89
2003,1,17,15,61,58
2003,1,17,16,30,29
2003,1,17,17,11,11
2003,1,17,18,0,0
2003,1,17,19,0,0
2003,1,17,20,0,0
2003,1,17,21,0,0
2003,1,17,22,0,0
2003,1,17,23,0,0
2003,1,17,24,0,0
2003,1,18,1,0,0
2003,1,18,2,0,0
2003,1,18,3,0,0
2003,1,18,4,0,0
2003,1,18,5,0,0
2003,1,18,6,0,0
2003,1,18,7,0,0
2003,1,18,8,0,0
2003,1,18,9,0,0
2003,1,18,10,8,8
2003,1,18,11,30,29
2003,1,18,12,66,63
2003,1,18,13,149,134
2003,1,18,14,213,126
2003,1,18,15,146,113
2003,1,18,16,44,42
2003,1,18,17,11,11
2003,1,18,18,0,0
2003,1,18,19,0,0
2003,1,18,20,0,0
2003,1,18,21,0,0
2003,1,18,22,0,0
2003,1,18,23,0,0
2003,1,18,24,0,0
2003,1,19,1,0,0
2003,1,19,2,0,0
2003,1,19,3,0,0
2003,1,19,4,0,0
2003,1,19,5,0,0
2003,1,19,6,0,0
2003,1,19,7,0,0
2003,1,19,8,0,0
2003,1,19,9,0,0
2003,1,19,10,8,8
2003,1,19,11,36,35
2003,1,19,12,61,59
2003,1,19,13,63,61
2003,1,19,14,55,53
2003,1,19,15,47,45
2003,1,19,16,33,32
2003,1,19,17,13,12
2003,1,19,18,0,0
2003,1,19,19,0,0
2003,1,19,20,0,0
2003,1,19,21,0,0
2003,1,19,22,0,0
2003,1,19,23,0,0
2003,1,19,24,0,0
2003,1,20,1,0,0
2003,1,20,2,0,0
2003,1,20,3,0,0
2003,1,20,4,0,0
2003,1,20,5,0,0
2003,1,20,6,0,0
2003,1,20,7,0,0
2003,1,20,8,0,0
2003,1,20,9,0,0
2003,1,20,10,11,11
2003,1,20,11,38,37
2003,1,20,12,47,46
2003,1,20,13,72,69
2003,1,20,14,66,63
2003,1,20,15,52,50
2003,1,20,16,36,35
2003,1,20,17,11,11
2003,1,20,18,0,0
2003,1,20,19,0,0
2003,1,20,20,0,0
2003,1,20,21,0,0
2003,1,20,22,0,0
2003,1,20,23,0,0
2003,1,20,24,0,0
2003,1,21,1,0,0
2003,1,21,2,0,0
2003,1,21,3,0,0
2003,1,21,4,0,0
2003,1,21,5,0,0
2003,1,21,6,0,0
2003,1,21,7,0,0
2003,1,21,8,0,0
2003,1,21,9,0,0
2003,1,21,10,11,11
2003,1,21,11,36,35
2003,1,21,12,38,37
2003,1,21,13,58,56
2003,1,21,14,55,53
2003,1,21,15,52,50
2003,1,21,16,33,32
2003,1,21,17,11,11
2003,1,21,18,0,0
2003,1,21,19,0,0
2003,1,21,20,0,0
2003,1,21,21,0,0
2003,1,21,22,0,0
2003,1,21,23,0,0
2003,1,21,24,0,0
2003,1,22,1,0,0
2003,1,22,2,0,0
2003,1,22,3,0,0
2003,1,22,4,0,0
2003,1,22,5,0,0
2003,1,22,6,0,0
2003,1,22,7,0,0
2003,1,22,8,0,0
2003,1,22,9,0,0
2003,1,22,10,8,8
2003,1,22,11,16,16
2003,1,22,12,50,48
2003,1,22,13,44,43
2003,1,22,14,55,53
2003,1,22,15,38,37
2003,1,22,16,30,29
2003,1,22,17,11,11
2003,1,22,18,0,0
2003,1,22,19,0,0
2003,1,22,20,0,0
2003,1,22,21,0,0
2003,1,22,22,0,0
2003,1,22,23,0,0
2003,1,22,24,0,0
2003,1,23,1,0,0
2003,1,23,2,0,0
2003,1,23,3,0,0
2003,1,23,4,0,0
2003,1,23,5,0,0
2003,1,23,6,0,0
2003,1,23,7,0,0
2003,1,23,8,0,0
2003,1,23,9,0,0
2003,1,23,10,36,34
2003,1,23,11,66,62
2003,1,23,12,111,103
2003,1,23,13,86,82
2003,1,23,14,66,63
2003,1,23,15,50,48
2003,1,23,16,13,13
2003,1,23,17,8,8
2003,1,23,18,0,0
2003,1,23,19,0,0
2003,1,23,20,0,0
2003,1,23,21,0,0
2003,1,23,22,0,0
2003,1,23,23,0,0
2003,1,23,24,0,0
2003,1,24,1,0,0
2003,1,24,2,0,0
2003,1,24,3,0,0
2003,1,24,4,0,0
2003,1,24,5,0,0
2003,1,24,6,0,0
2003,1,24,7,0,0
2003,1,24,8,0,0
2003,1,24,9,0,0
2003,1,24,10,11,11
2003,1,24,11,25,24
2003,1,24,12,33,32
2003,1,24,13,38,37
2003,1,24,14,50,49
2003,1,24,15,38,37
2003,1,24,16,25,24
2003,1,24,17,11,11
2003,1,24,18,0,0
2003,1,24,19,0,0
2003,1,24,20,0,0
2003,1,24,21,0,0
2003,1,24,22,0,0
2003,1,24,23,0,0
2003,1,24,24,0,0
2003,1,25,1,0,0
2003,1,25,2,0,0
2003,1,25,3,0,0
2003,1,25,4,0,0
2003,1,25,5,0,0
2003,1,25,6,0,0
2003,1,25,7,0,0
2003,1,25,8,0,0
2003,1,25,9,0,0
2003,1,25,10,8,8
2003,1,25,11,13,13
2003,1,25,12,22,22
2003,1,25,13,30,30
2003,1,25,14,27,27
2003,1,25,15,25,25
2003,1,25,16,16,16
2003,1,25,17,8,8
2003,1,25,18,2,2
2003,1,25,19,0,0
2003,1,25,20,0,0
2003,1,25,21,0,0
2003,1,25,22,0,0
2003,1,25,23,0,0
2003,1,25,24,0,0
2003,1,26,1,0,0
2003,1,26,2,0,0
2003,1,26,3,0,0
2003,1,26,4,0,0
2003,1,26,5,0,0
2003,1,26,6,0,0
2003,1,26,7,0,0
2003,1,26,8,0,0
2003,1,26,9,2,2
2003,1,26,10,22,21
2003,1,26,11,69,65
2003,1,26,12,160,134
2003,1,26,13,172,148
2003,1,26,14,232,140
2003,1,26,15,41,40
2003,1,26,16,55,52
2003,1,26,17,27,25
2003,1,26,18,0,0
2003,1,26,19,0,0
2003,1,26,20,0,0
2003,1,26,21,0,0
2003,1,26,22,0,0
2003,1,26,23,0,0
2003,1,26,24,0,0
2003,1,27,1,0,0
2003,1,27,2,0,0
2003,1,27,3,0,0
2003,1,27,4,0,0
2003,1,27,5,0,0
2003,1,27,6,0,0
2003,1,27,7,0,0
2003,1,27,8,0,0
2003,1,27,9,0,0
2003,1,27,10,71,55
2003,1,27,11,171,94
2003,1,27,12,247,113
2003,1,27,13,221,149
2003,1,27,14,202,149
2003,1,27,15,146,127
2003,1,27,16,83,77
2003,1,27,17,33,31
2003,1,27,18,2,2
2003,1,27,19,0,0
2003,1,27,20,0,0
2003,1,27,21,0,0
2003,1,27,22,0,0
2003,1,27,23,0,0
2003,1,27,24,0,0
2003,1,28,1,0,0
2003,1,28,2,0,0
2003,1,28,3,0,0
2003,1,28,4,0,0
2003,1,28,5,0,0
2003,1,28,6,0,0
2003,1,28,7,0,0
2003,1,28,8,0,0
2003,1,28,9,0,0
2003,1,28,10,44,41
2003,1,28,11,149,103
2003,1,28,12,113,105
2003,1,28,13,152,140
2003,1,28,14,215,150
2003,1,28,15,215,121
2003,1,28,16,118,93
2003,1,28,17,33,31
2003,1,28,18,5,5
2003,1,28,19,0,0
2003,1,28,20,0,0
2003,1,28,21,0,0
2003,1,28,22,0,0
2003,1,28,23,0,0
2003,1,28,24,0,0
2003,1,29,1,0,0
2003,1,29,2,0,0
2003,1,29,3,0,0
2003,1,29,4,0,0
2003,1,29,5,0,0
2003,1,29,6,0,0
2003,1,29,7,0,0
2003,1,29,8,0,0
2003,1,29,9,2,2
2003,1,29,10,107,47
2003,1,29,11,230,57
2003,1,29,12,291,86
2003,1,29,13,335,85
2003,1,29,14,327,87
2003,1,29,15,277,81
2003,1,29,16,188,68
2003,1,29,17,71,41
2003,1,29,18,5,5
2003,1,29,19,0,0
2003,1,29,20,0,0
2003,1,29,21,0,0
2003,1,29,22,0,0
2003,1,29,23,0,0
2003,1,29,24,0,0
2003,1,30,1,0,0
2003,1,30,2,0,0
2003,1,30,3,0,0
2003,1,30,4,0,0
2003,1,30,5,0,0
2003,1,30,6,0,0
2003,1,30,7,0,0
2003,1,30,8,0,0
2003,1,30,9,2,2
2003,1,30,10,88,58
2003,1,30,11,207,82
2003,1,30,12,294,88
2003,1,30,13,338,87
2003,1,30,14,327,92
2003,1,30,15,277,86
2003,1,30,16,191,70
2003,1,30,17,79,40
2003,1,30,18,2,2
2003,1,30,19,0,0
2003,1,30,20,0,0
2003,1,30,21,0,0
2003,1,30,22,0,0
2003,1,30,23,0,0
2003,1,30,24,0,0
2003,1,31,1,0,0
2003,1,31,2,0,0
2003,1,31,3,0,0
2003,1,31,4,0,0
2003,1,31,5,0,0
2003,1,31,6,0,0
2003,1,31,7,0,0
2003,1,31,8,0,0
2003,1,31,9,5,4
2003,1,31,10,96,59
2003,1,31,11,210,84
2003,1,31,12,296,91
2003,1,31,13,338,93
2003,1,31,14,329,96
2003,1,31,15,282,87
2003,1,31,16,190,76
2003,1,31,17,80,43
2003,1,31,18,8,8
2003,1,31,19,0,0
2003,1,31,20,0,0
2003,1,31,21,0,0
2003,1,31,22,0,0
2003,1,31,23,0,0
2003,1,31,24,0,0
1994,2,1,1,0,0
1994,2,1,2,0,0
1994,2,1,3,0,0
1994,2,1,4,0,0
1994,2,1,5,0,0
1994,2,1,6,0,0
1994,2,1,7,0,0
1994,2,1,8,0,0
1994,2,1,9,0,0
1994,2,1,10,3,3
1994,2,1,11,17,16
1994,2,1,12,19,19
1994,2,1,13,22,22
1994,2,1,14,28,27
1994,2,1,15,28,27
1994,2,1,16,19,19
1994,2,1,17,11,11
1994,2,1,18,0,0
1994,2,1,19,0,0
1994,2,1,20,0,0
1994,2,1,21,0,0
1994,2,1,22,0,0
1994,2,1,23,0,0
1994,2,1,24,0,0
1994,2,2,1,0,0
1994,2,2,2,0,0
1994,2,2,3,0,0
1994,2,2,4,0,0
1994,2,2,5,0,0
1994,2,2,6,0,0
1994,2,2,7,0,0
1994,2,2,8,0,0
1994,2,2,9,0,0
1994,2,2,10,3,3
1994,2,2,11,19,19
1994,2,2,12,25,25
1994,2,2,13,33,33
1994,2,2,14,28,27
1994,2,2,15,28,27
1994,2,2,16,22,22
1994,2,2,17,11,11
1994,2,2,18,0,0
1994,2,2,19,0,0
1994,2,2,20,0,0
1994,2,2,21,0,0
1994,2,2,22,0,0
1994,2,2,23,0,0
1994,2,2,24,0,0
1994,2,3,1,0,0
1994,2,3,2,0,0
1994,2,3,3,0,0
1994,2,3,4,0,0
1994,2,3,5,0,0
1994,2,3,6,0,0
1994,2,3,7,0,0
1994,2,3,8,0,0
1994,2,3,9,0,0
1994,2,3,10,14,14
1994,2,3,11,31,30
1994,2,3,12,36,35
1994,2,3,13,42,41
1994,2,3,14,42,41
1994,2,3,15,36,35
1994,2,3,16,28,27
1994,2,3,17,11,11
1994,2,3,18,3,3
1994,2,3,19,0,0
1994,2,3,20,0,0
1994,2,3,21,0,0
1994,2,3,22,0,0
1994,2,3,23,0,0
1994,2,3,24,0,0
1994,2,4,1,0,0
1994,2,4,2,0,0
1994,2,4,3,0,0
1994,2,4,4,0,0
1994,2,4,5,0,0
1994,2,4,6,0,0
1994,2,4,7,0,0
1994,2,4,8,0,0
1994,2,4,9,8,8
1994,2,4,10,81,69
1994,2,4,11,172,116
1994,2,4,12,250,140
1994,2,4,13,303,141
1994,2,4,14,297,140
1994,2,4,15,250,129
1994,2,4,16,183,97
1994,2,4,17,78,56
1994,2,4,18,14,14
1994,2,4,19,0,0
1994,2,4,20,0,0
1994,2,4,21,0,0
1994,2,4,22,0,0
1994,2,4,23,0,0
1994,2,4,24,0,0
1994,2,5,1,0,0
1994,2,5,2,0,0
1994,2,5,3,0,0
1994,2,5,4,0,0
1994,2,5,5,0,0
1994,2,5,6,0,0
1994,2,5,7,0,0
1994,2,5,8,0,0
1994,2,5,9,11,10
