Hour,Grid_kVA
1,59.381553333333336
2,59.381553333333336
3,59.381553333333336
4,59.381553333333336
5,59.381553333333336
6,59.381553333333336
7,59.381553333333336
8,59.381553333333336
9,40.63003333333333
10,40.63003333333333
11,40.63003333333333
12,40.63003333333333
13,42.169533333333334
14,34.60203333333333
15,34.60203333333333
16,34.60203333333333
17,34.60203333333333
18,49.73703333333333
19,48.83303333333333
20,39.79103333333333
21,39.79103333333333
22,39.79103333333333
23,39.79103333333333
24,54.86103333333333
25,59.381553333333336
26,59.381553333333336
27,59.381553333333336
28,59.381553333333336
29,59.381553333333336
30,59.381553333333336
31,59.381553333333336
32,59.381553333333336
33,40.63003333333333
34,40.63003333333333
35,40.63003333333333
36,40.63003333333333
37,42.169533333333334
38,34.60203333333333
39,34.60203333333333
40,34.60203333333333
41,34.60203333333333
42,49.73703333333333
43,48.83303333333333
44,39.79103333333333
45,39.79103333333333
46,39.79103333333333
47,39.79103333333333
48,54.86103333333333
49,59.381553333333336
50,59.381553333333336
51,59.381553333333336
52,59.381553333333336
53,59.381553333333336
54,59.381553333333336
55,59.381553333333336
56,59.381553333333336
57,40.63003333333333
58,40.63003333333333
59,40.63003333333333
60,40.63003333333333
61,42.169533333333334
62,34.60203333333333
63,34.60203333333333
64,26.976033333333334
65,26.976033333333334
66,42.11103333333333
67,42.11103333333333
68,27.506033333333335
69,27.506033333333335
70,27.506033333333335
71,27.506033333333335
72,48.13903333333333
73,59.381553333333336
74,59.381553333333336
75,59.381553333333336
76,59.381553333333336
77,59.381553333333336
78,59.381553333333336
79,59.381553333333336
80,59.381553333333336
81,40.63003333333333
82,40.63003333333333
83,40.63003333333333
84,40.63003333333333
85,42.169533333333334
86,34.60203333333333
87,34.60203333333333
88,33.69803333333333
89,33.69803333333333
90,48.83303333333333
91,48.83303333333333
92,39.79103333333333
93,39.79103333333333
94,39.79103333333333
95,39.79103333333333
96,54.86103333333333
97,56.66955333333333
98,56.66955333333333
99,59.381553333333336
100,59.381553333333336
101,59.381553333333336
102,59.381553333333336
103,59.381553333333336
104,59.381553333333336
105,42.43803333333334
106,42.43803333333334
107,40.63003333333333
108,40.63003333333333
109,42.169533333333334
110,34.60203333333333
111,34.60203333333333
112,29.688033333333333
113,29.688033333333333
114,42.11103333333333
115,42.11103333333333
116,25.698033333333335
117,25.698033333333335
118,27.506033333333335
119,27.506033333333335
120,49.94703333333333
121,56.66955333333333
122,56.66955333333333
123,59.381553333333336
124,59.381553333333336
125,59.381553333333336
126,59.381553333333336
127,59.381553333333336
128,59.381553333333336
129,57.573033333333335
130,57.573033333333335
131,55.765033333333335
132,55.765033333333335
133,49.73703333333333
134,49.73703333333333
135,49.73703333333333
136,44.82303333333333
137,44.82303333333333
138,42.11103333333333
139,42.11103333333333
140,25.698033333333335
141,25.698033333333335
142,27.506033333333335
143,27.506033333333335
144,49.94703333333333
145,56.66955333333333
146,54.86155333333333
147,59.381553333333336
148,59.381553333333336
149,59.381553333333336
150,59.381553333333336
151,59.381553333333336
152,59.381553333333336
153,57.573033333333335
154,57.573033333333335
155,55.765033333333335
156,55.765033333333335
157,49.73703333333333
158,49.73703333333333
159,49.73703333333333
160,44.82303333333333
161,44.82303333333333
162,42.11103333333333
163,42.11103333333333
164,25.698033333333335
165,25.698033333333335
166,27.506033333333335
167,27.506033333333335
168,49.94703333333333
169,59.381553333333336
170,59.381553333333336
171,59.381553333333336
172,59.381553333333336
173,59.381553333333336
174,59.381553333333336
175,59.381553333333336
176,59.381553333333336
177,40.63003333333333
178,40.63003333333333
179,40.63003333333333
180,40.63003333333333
181,42.169533333333334
182,34.60203333333333
183,34.60203333333333
184,34.60203333333333
185,34.60203333333333
186,49.73703333333333
187,48.83303333333333
188,39.79103333333333
189,39.79103333333333
190,39.79103333333333
191,39.79103333333333
192,54.86103333333333
193,59.381553333333336
194,59.381553333333336
195,59.381553333333336
196,59.381553333333336
197,59.381553333333336
198,59.381553333333336
199,59.381553333333336
200,59.381553333333336
201,40.63003333333333
202,40.63003333333333
203,40.63003333333333
204,40.63003333333333
205,42.169533333333334
206,34.60203333333333
207,34.60203333333333
208,34.60203333333333
209,34.60203333333333
210,49.73703333333333
211,48.83303333333333
212,39.79103333333333
213,39.79103333333333
214,39.79103333333333
215,39.79103333333333
216,54.86103333333333
217,59.381553333333336
218,59.381553333333336
219,59.381553333333336
220,59.381553333333336
221,59.381553333333336
222,59.381553333333336
223,59.381553333333336
224,59.381553333333336
225,40.63003333333333
226,40.63003333333333
227,40.63003333333333
228,40.63003333333333
229,42.169533333333334
230,34.60203333333333
231,34.60203333333333
232,26.976033333333334
233,26.976033333333334
234,42.11103333333333
235,42.11103333333333
236,27.506033333333335
237,27.506033333333335
238,27.506033333333335
239,27.506033333333335
240,48.13903333333333
241,59.381553333333336
242,59.381553333333336
243,59.381553333333336
244,59.381553333333336
245,59.381553333333336
246,59.381553333333336
247,59.381553333333336
248,59.381553333333336
249,40.63003333333333
250,40.63003333333333
251,40.63003333333333
252,40.63003333333333
253,42.169533333333334
254,34.60203333333333
255,34.60203333333333
256,33.69803333333333
257,33.69803333333333
258,48.83303333333333
259,48.83303333333333
260,39.79103333333333
261,39.79103333333333
262,39.79103333333333
263,39.79103333333333
264,54.86103333333333
265,56.66955333333333
266,56.66955333333333
267,59.381553333333336
268,59.381553333333336
269,59.381553333333336
270,59.381553333333336
271,59.381553333333336
272,59.381553333333336
273,42.43803333333334
274,42.43803333333334
275,40.63003333333333
276,40.63003333333333
277,42.169533333333334
278,34.60203333333333
279,34.60203333333333
280,29.688033333333333
281,29.688033333333333
282,42.11103333333333
283,42.11103333333333
284,25.698033333333335
285,25.698033333333335
286,27.506033333333335
287,27.506033333333335
288,49.94703333333333
289,56.66955333333333
290,56.66955333333333
291,59.381553333333336
292,59.381553333333336
293,59.381553333333336
294,59.381553333333336
295,59.381553333333336
296,59.381553333333336
297,57.573033333333335
298,57.573033333333335
299,55.765033333333335
300,55.765033333333335
301,49.73703333333333
