Hour;T;N;NE;E;SE;S;SW;W;NW;Horizontal
83;8;6.585593085;6.585593085;6.857880646;7.028865833;6.940187855;6.64379307;6.585593085;6.585593085;14
84;8.5;20.20766006;20.20766006;21.05880652;22.13907343;22.08794458;20.93537056;20.20766006;20.20766006;42
85;8.8;11.7790431;11.7790431;11.88342359;12.25324117;12.34527995;12.10562487;11.7790431;11.7790431;25
86;9;7.951768622;7.951768622;7.951768622;8.141776572;8.239816557;8.169121969;7.971104739;7.951768622;17
87;8.8;3.711934049;3.711934049;3.711934049;3.75704344;3.806387922;3.800402606;3.742593609;3.711934049;8
88;8.8;2.775762317;2.775762317;2.775762317;2.814144366;2.916161784;2.935935098;2.86188137;2.775762317;6
89;8.8;0;0;0;0;0;0;0;0;0
90;8.6;0;0;0;0;0;0;0;0;0
91;8.1;0;0;0;0;0;0;0;0;0
92;7.9;0;0;0;0;0;0;0;0;0
93;8;0;0;0;0;0;0;0;0;0
94;8.2;0;0;0;0;0;0;0;0;0
95;8.1;0;0;0;0;0;0;0;0;0
96;7.8;0;0;0;0;0;0;0;0;0
97;7.4;0;0;0;0;0;0;0;0;0
98;7.5;0;0;0;0;0;0;0;0;0
99;7.3;0;0;0;0;0;0;0;0;0
100;6.4;0;0;0;0;0;0;0;0;0
101;6.7;0;0;0;0;0;0;0;0;0
102;6.8;0;0;0;0;0;0;0;0;0
103;6.9;0;0;0;0;0;0;0;0;0
104;7.2;0;0;0;0;0;0;0;0;0
105;7.2;0;0;0;0;0;0;0;0;0
106;7;0;0;0;0;0;0;0;0;0
107;7.1;0;0;0;0;0;0;0;0;0
108;7.4;2.77881936;2.77881936;2.796065634;2.817793673;2.816691088;2.793403759;2.77881936;2.77881936;6
109;8.4;3.714145561;3.714145561;3.724810037;3.762129314;3.771340359;3.747047467;3.714145561;3.714145561;8
110;9.4;3.714252937;3.714252937;3.714252937;3.755739938;3.777027771;3.761542957;3.718356291;3.714252937;8
111;10.6;7.952363216;7.952363216;7.952363216;8.152136358;8.369706956;8.342803251;8.087185069;7.952363216;17
112;9.3;2.775812499;2.775812499;2.775812499;2.812845308;2.910773294;2.929643077;2.858400993;2.775812499;6
113;8.2;0;0;0;0;0;0;0;0;0
114;8.1;0;0;0;0;0;0;0;0;0
115;7.7;0;0;0;0;0;0;0;0;0
116;7.4;0;0;0;0;0;0;0;0;0
117;7.3;0;0;0;0;0;0;0;0;0
118;7.4;0;0;0;0;0;0;0;0;0
119;7.3;0;0;0;0;0;0;0;0;0
120;7.1;0;0;0;0;0;0;0;0;0
121;7.1;0;0;0;0;0;0;0;0;0
122;7;0;0;0;0;0;0;0;0;0
123;6.8;0;0;0;0;0;0;0;0;0
124;6.9;0;0;0;0;0;0;0;0;0
125;6.1;0;0;0;0;0;0;0;0;0
126;6.1;0;0;0;0;0;0;0;0;0
127;5.6;0;0;0;0;0;0;0;0;0
128;4.7;0;0;0;0;0;0;0;0;0
129;4.9;0;0;0;0;0;0;0;0;0
130;5.7;3.870088206;3.940818702;4.479405529;4.661062532;4.379377502;3.870088206;3.870088206;3.870088206;8
