Hour,Grid_kVA
1,59.59155333333333
2,59.59155333333333
3,59.59155333333333
4,59.59155333333333
5,59.59155333333333
6,59.59155333333333
7,59.59155333333333
8,59.59155333333333
9,40.84003333333334
10,40.84003333333334
11,40.84003333333334
12,40.84003333333334
13,42.379533333333335
14,34.81203333333333
15,34.81203333333333
16,34.81203333333333
17,34.81203333333333
18,49.94703333333334
19,49.043033333333334
20,40.00103333333333
21,40.00103333333333
22,40.00103333333333
23,40.00103333333333
24,55.07103333333333
25,59.59155333333333
26,59.59155333333333
27,59.59155333333333
28,59.59155333333333
29,59.59155333333333
30,59.59155333333333
31,59.59155333333333
32,59.59155333333333
33,40.84003333333334
34,40.84003333333334
35,40.84003333333334
36,40.84003333333334
37,42.379533333333335
38,34.81203333333333
39,34.81203333333333
40,34.81203333333333
41,34.81203333333333
42,49.94703333333334
43,49.043033333333334
44,40.00103333333333
45,40.00103333333333
46,40.00103333333333
47,40.00103333333333
48,55.07103333333333
49,59.59155333333333
50,59.59155333333333
51,59.59155333333333
52,59.59155333333333
53,59.59155333333333
54,59.59155333333333
55,59.59155333333333
56,59.59155333333333
57,40.84003333333334
58,40.84003333333334
59,40.84003333333334
60,40.84003333333334
61,42.379533333333335
62,34.81203333333333
63,34.81203333333333
64,27.186033333333334
65,27.186033333333334
66,42.32103333333333
67,42.32103333333333
68,27.716033333333336
69,27.716033333333336
70,27.716033333333336
71,27.716033333333336
72,48.34903333333334
73,59.59155333333333
74,59.59155333333333
75,59.59155333333333
76,59.59155333333333
77,59.59155333333333
78,59.59155333333333
79,59.59155333333333
80,59.59155333333333
81,40.84003333333334
82,40.84003333333334
83,40.84003333333334
84,40.84003333333334
85,42.379533333333335
86,34.81203333333333
87,34.81203333333333
88,34.81203333333333
89,34.81203333333333
90,49.94703333333334
91,49.043033333333334
92,40.00103333333333
93,40.00103333333333
94,40.00103333333333
95,40.00103333333333
96,55.07103333333333
97,59.59155333333333
98,59.59155333333333
99,59.59155333333333
100,59.59155333333333
101,59.59155333333333
102,59.59155333333333
103,59.59155333333333
104,59.59155333333333
105,40.84003333333334
106,40.84003333333334
107,40.84003333333334
108,40.84003333333334
109,42.379533333333335
110,34.81203333333333
111,34.81203333333333
